O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
4,Vivekananda Bauri,Bharatiya Janata Party,94994,776,95770,44.61,West Bengal-Raghunathpur
5,Pashupati Roy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3802,27,3829,1.78,West Bengal-Raghunathpur
6,Mihir Bauri,Independent,2343,11,2354,1.1,West Bengal-Raghunathpur
7,Sumanta Bouri,Independent,2386,17,2403,1.12,West Bengal-Raghunathpur
8,NOTA,None of the Above,3537,20,3557,1.66,West Bengal-Raghunathpur
1,ALOKE JALDATA,All India Trinamool Congress,114651,1056,115707,48.47,West Bengal-Raidighi
2,KANTI GANGULY,Communist Party of India  (Marxist),36689,242,36931,15.47,West Bengal-Raidighi
3,MINTU MISTRI,Bahujan Samaj Party,793,2,795,0.33,West Bengal-Raidighi
4,SANTANU BAPULI,Bharatiya Janata Party,79602,537,80139,33.57,West Bengal-Raidighi
5,GUNASINDHU HALDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2818,44,2862,1.2,West Bengal-Raidighi
6,BABLU HALDAR,Independent,290,2,292,0.12,West Bengal-Raidighi
7,SOUVIK BAPULI,Independent,530,2,532,0.22,West Bengal-Raidighi
8,NOTA,None of the Above,1457,5,1462,0.61,West Bengal-Raidighi
1,AGARWAL KANAIA LAL,All India Trinamool Congress,58007,1020,59027,36.58,West Bengal-Raiganj
2,KRISHNA KALYANI,Bharatiya Janata Party,78308,1467,79775,49.44,West Bengal-Raiganj
3,MOHIT SENGUPTA,Indian National Congress,16524,674,17198,10.66,West Bengal-Raiganj
4,GOUTAM BISWAS,Amra Bangalee,204,4,208,0.13,West Bengal-Raiganj
5,BAHAMONI HANSDA,Bahujan Mukti Party,128,5,133,0.08,West Bengal-Raiganj
6,BHABATOSH LAHIRI,Janata Dal  (United),73,0,73,0.05,West Bengal-Raiganj
7,SANATAN MAJUMDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),133,0,133,0.08,West Bengal-Raiganj
8,JYOTI BARMAN,Independent,98,1,99,0.06,West Bengal-Raiganj
9,DIPENDU SARKAR,Independent,208,3,211,0.13,West Bengal-Raiganj
10,MANJU DAS (MANDAL),Independent,194,2,196,0.12,West Bengal-Raiganj
11,MINAKSHI ROY,Independent,462,3,465,0.29,West Bengal-Raiganj
12,RAJU PAUL,Independent,1361,0,1361,0.84,West Bengal-Raiganj
13,NOTA,None of the Above,2459,9,2468,1.53,West Bengal-Raiganj
1,Pallab Biswas,Bahujan Samaj Party,1861,10,1871,0.82,West Bengal-Raina
2,Basudeb Khan,Communist Party of India  (Marxist),25141,191,25332,11.05,West Bengal-Raina
3,Manik Roy,Bharatiya Janata Party,89999,548,90547,39.51,West Bengal-Raina
4,Shampa Dhara,All India Trinamool Congress,107918,834,108752,47.46,West Bengal-Raina
5,Rabi Routh,Bahujan Mukti Party,1098,3,1101,0.48,West Bengal-Raina
6,NOTA,None of the Above,1556,7,1563,0.68,West Bengal-Raina
1,MRITYUNJOY MURMU,All India Trinamool Congress,100387,656,101043,51.96,West Bengal-Raipur
2,SUDHANSHU HANSDA,Bharatiya Janata Party,80760,885,81645,41.98,West Bengal-Raipur
3,MILAN MANDI,Rashtriya Secular Majlis Party,6496,97,6593,3.39,West Bengal-Raipur
4,SHYAMAPADA MUDI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1041,7,1048,0.54,West Bengal-Raipur
5,SUKCHAND SAREN,Independent,1154,7,1161,0.6,West Bengal-Raipur
6,NOTA,None of the Above,2973,13,2986,1.54,West Bengal-Raipur
1,ADITI MUNSHI,All India Trinamool Congress,87219,431,87650,49.04,West Bengal-Rajarhat  Gopalpur
2,SAMIK BHATTACHARYA,Bharatiya Janata Party,62092,262,62354,34.89,West Bengal-Rajarhat  Gopalpur
3,SUBHAJIT DASGUPTA,Communist Party of India  (Marxist),24333,178,24511,13.71,West Bengal-Rajarhat  Gopalpur
4,JAGANMOY KARMAKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),454,1,455,0.25,West Bengal-Rajarhat  Gopalpur
5,RINA DEY,Bharatiya Nyay-Adhikar Raksha Party,365,5,370,0.21,West Bengal-Rajarhat  Gopalpur
6,APURBA MONDAL,Independent,94,1,95,0.05,West Bengal-Rajarhat  Gopalpur
7,AMITAVA BASU,Independent,90,0,90,0.05,West Bengal-Rajarhat  Gopalpur
8,INDRANI HALDER,Independent,82,2,84,0.05,West Bengal-Rajarhat  Gopalpur
9,GOPAL MONDAL,Independent,101,1,102,0.06,West Bengal-Rajarhat  Gopalpur
10,DR. NITAI CHANDRA ROY,Independent,149,1,150,0.08,West Bengal-Rajarhat  Gopalpur
11,MD. JAVED,Independent,279,1,280,0.16,West Bengal-Rajarhat  Gopalpur
