O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
1,ABDUL BATIN KHANDAKAR,Indian National Congress,92698,578,93276,58.58,Assam-ABHAYAPURI NORTH
2,ASRAFUL ISLAM,All India Trinamool Congress,1545,22,1567,0.98,Assam-ABHAYAPURI NORTH
3,BHUPEN ROY,Asom Gana Parishad,59637,858,60495,38,Assam-ABHAYAPURI NORTH
4,AJANTA BARUAH,Assam Jatiya Parishad,1173,91,1264,0.79,Assam-ABHAYAPURI NORTH
5,SHYAM RAJ RABHA,Janata Dal  (United),349,17,366,0.23,Assam-ABHAYAPURI NORTH
6,JAHIDUL ISLAM,Independent,406,7,413,0.26,Assam-ABHAYAPURI NORTH
7,SHEIKH ABDULLAH,Independent,808,3,811,0.51,Assam-ABHAYAPURI NORTH
8,NOTA,None of the Above,1015,10,1025,0.64,Assam-ABHAYAPURI NORTH
1,PURNENDU BANIKYA,Asom Gana Parishad,65130,739,65869,35.59,Assam-ABHAYAPURI SOUTH
2,PRADIP SARKAR,Indian National Congress,112341,613,112954,61.04,Assam-ABHAYAPURI SOUTH
3,KAUSHIK RANJAN DAS,Independent,2090,15,2105,1.14,Assam-ABHAYAPURI SOUTH
4,ROMONATH MONDAL,Independent,2469,20,2489,1.34,Assam-ABHAYAPURI SOUTH
5,NOTA,None of the Above,1617,25,1642,0.89,Assam-ABHAYAPURI SOUTH
1,Aftab Uddin Laskar,Asom Gana Parishad,7458,91,7549,5.59,Assam-ALGAPUR
2,Nijam Uddin Choudhury,All India United Democratic Front,66134,651,66785,49.46,Assam-ALGAPUR
3,Moon Swarnakar,Bharatiya Janata Party,48894,287,49181,36.42,Assam-ALGAPUR
4,Simu Das,All India Forward Bloc,549,3,552,0.41,Assam-ALGAPUR
5,Alim Uddin Laskar,Independent,135,1,136,0.1,Assam-ALGAPUR
6,Imadul Islam Laskar,Independent,93,2,95,0.07,Assam-ALGAPUR
7,Kaji Abdul Hakim,Independent,279,1,280,0.21,Assam-ALGAPUR
8,Gulzar Ahmed Barbhuiya,Independent,339,0,339,0.25,Assam-ALGAPUR
9,Jahanara Begum Mazumder,Independent,314,0,314,0.23,Assam-ALGAPUR
10,Daisy Roy,Independent,1588,13,1601,1.19,Assam-ALGAPUR
11,Badrul Islam Barbhuiya,Independent,1379,24,1403,1.04,Assam-ALGAPUR
12,Babul Kumar,Independent,2339,4,2343,1.74,Assam-ALGAPUR
13,Bulbul Alam Choudhury,Independent,534,0,534,0.4,Assam-ALGAPUR
14,Brojendra Chandra Das,Independent,466,0,466,0.35,Assam-ALGAPUR
15,Manoj Kumar Malakar,Independent,793,1,794,0.59,Assam-ALGAPUR
16,Raju Das,Independent,759,1,760,0.56,Assam-ALGAPUR
17,Raju Deb,Independent,224,0,224,0.17,Assam-ALGAPUR
18,Samin Ahmed Choudhury,Independent,634,0,634,0.47,Assam-ALGAPUR
19,Saleh Ahmed Mazumder,Independent,593,1,594,0.44,Assam-ALGAPUR
20,NOTA,None of the Above,433,9,442,0.33,Assam-ALGAPUR
1,Angkita Dutta,Indian National Congress,43315,397,43712,42.08,Assam-AMGURI
2,PRODIP HAZARIKA,Asom Gana Parishad,49420,471,49891,48.03,Assam-AMGURI
3,Chandra Boruah,Assam Jatiya Parishad,6882,105,6987,6.73,Assam-AMGURI
4,Pradip Hazarika,Independent,1011,11,1022,0.98,Assam-AMGURI
5,Rajkumar Duwara,Independent,953,6,959,0.92,Assam-AMGURI
6,NOTA,None of the Above,1301,12,1313,1.26,Assam-AMGURI
1,ABDUL AZIZ,All India United Democratic Front,73908,544,74452,56.62,Assam-BADARPUR
2,BISWARUP BHATTACHARJEE,Bharatiya Janata Party,49969,535,50504,38.41,Assam-BADARPUR
3,NIZAM UDDIN,Rashtriya Ulama Council,356,3,359,0.27,Assam-BADARPUR
4,SAHAB UDDIN,Assam Jatiya Parishad,2111,12,2123,1.61,Assam-BADARPUR
5,OLIOUR RAHAMAN TAPADAR,Independent,72,0,72,0.05,Assam-BADARPUR
6,ABDUL MALIK,Independent,455,1,456,0.35,Assam-BADARPUR
7,ABDUL HASIB,Independent,157,2,159,0.12,Assam-BADARPUR
8,ABDUS SUKKUR BEIG,Independent,77,1,78,0.06,Assam-BADARPUR
9,ENAM UDDIN,Independent,98,5,103,0.08,Assam-BADARPUR
10,KABIL MIYA,Independent,290,2,292,0.22,Assam-BADARPUR
11,NAJIM UDDIN,Independent,216,2,218,0.17,Assam-BADARPUR
12,BAHAR ASHIK,Independent,175,0,175,0.13,Assam-BADARPUR
13,RASID AHMED,Independent,229,0,229,0.17,Assam-BADARPUR
14,RIYAJ UDDIN,Independent,566,0,566,0.43,Assam-BADARPUR
15,NOTA,None of the Above,1692,14,1706,1.3,Assam-BADARPUR
1,Rajib Ahmed,All India United Democratic Front,65338,77,65415,43.24,Assam-BAGHBAR
2,Sherman Ali Ahmed,Indian National Congress,79245,112,79357,52.46,Assam-BAGHBAR
3,Hasinara Khatun,Bharatiya Janata Party,3018,20,3038,2.01,Assam-BAGHBAR
4,Abdul Aziz,Voters Party  International,612,1,613,0.41,Assam-BAGHBAR
5,Salim Khan,Bhartiya Rashtrawadi Party,170,0,170,0.11,Assam-BAGHBAR
6,Jahidul Islam,Janata Dal  (United),158,0,158,0.1,Assam-BAGHBAR
7,Moshwaraf Hussein,The National Road Map Party of India,408,1,409,0.27,Assam-BAGHBAR
8,Rejaul Karim,Republican Party of India (Athawale),617,0,617,0.41,Assam-BAGHBAR
9,Lil Chan Uddin,Republican Party of India (A),272,0,272,0.18,Assam-BAGHBAR
10,Afil Uddin Talukdar,Independent,486,1,487,0.32,Assam-BAGHBAR
11,NOTA,None of the Above,737,3,740,0.49,Assam-BAGHBAR
1,Augustine Enghee,Indian National Congress,36226,52,36278,22.24,Assam-BAITHALANGSO
2,Rupsing Teron,Bharatiya Janata Party,89577,138,89715,55,Assam-BAITHALANGSO
3,Welcome Teron,National People's Party,1874,7,1881,1.15,Assam-BAITHALANGSO
4,Sima Engtipi,Janata Dal  (United),942,0,942,0.58,Assam-BAITHALANGSO
5,Sarsing Engleng,Independent,11537,10,11547,7.08,Assam-BAITHALANGSO
6,Pratima Engheepi,Independent,1478,1,1479,0.91,Assam-BAITHALANGSO
7,Bikram Hanse,Independent,17955,10,17965,11.01,Assam-BAITHALANGSO
8,Rina Beypi,Independent,1218,5,1223,0.75,Assam-BAITHALANGSO
9,NOTA,None of the Above,2082,0,2082,1.28,Assam-BAITHALANGSO
1,PRABEEN BARO,Bodoland Peoples Front,38540,73,38613,28.96,Assam-BARAMA
2,BHUPEN BARO,"United People’s Party, Liberal",62270,115,62385,46.78,Assam-BARAMA
3,SAROJANI BASUMATARY,Voters Party  International,1795,3,1798,1.35,Assam-BARAMA
4,NABA KUMAR SARANIA,Independent,25851,39,25890,19.42,Assam-BARAMA
5,PRADIP KUMAR BARO,Independent,2568,1,2569,1.93,Assam-BARAMA
6,NOTA,None of the Above,2090,2,2092,1.57,Assam-BARAMA
1,GANESH KUMAR LIMBU,Bharatiya Janata Party,70176,393,70569,51.5,Assam-BARCHALLA
2,RAM PRASAD SHARMA,Indian National Congress,52628,159,52787,38.52,Assam-BARCHALLA
3,UPEN RAJ NATH,Assam Jatiya Parishad,10108,84,10192,7.44,Assam-BARCHALLA
4,HEMANTA KUMAR ADHIKARY,Independent,1613,11,1624,1.19,Assam-BARCHALLA
5,NOTA,None of the Above,1850,6,1856,1.35,Assam-BARCHALLA
1,JITU GOSWAMI,Bharatiya Janata Party,69799,312,70111,48.7,Assam-BARHAMPUR
2,SURESH BORAH,Indian National Congress,69111,249,69360,48.18,Assam-BARHAMPUR
3,DIPIKA SAIKIA KEOT,Assam Jatiya Parishad,1901,21,1922,1.34,Assam-BARHAMPUR
4,PARBIN CHOUDHURY,Asom Jana Morcha,332,1,333,0.23,Assam-BARHAMPUR
5,SONARAM BORA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),520,3,523,0.36,Assam-BARHAMPUR
6,SAMSHEDDIN AHMED,Independent,416,1,417,0.29,Assam-BARHAMPUR
7,NOTA,None of the Above,1285,6,1291,0.9,Assam-BARHAMPUR
1,CHAMPAK KALITA,All India United Democratic Front,1104,2,1106,0.64,Assam-BARKHETRI
2,DIGANTA BARMAN,Indian National Congress,85697,129,85826,49.46,Assam-BARKHETRI
3,NARAYAN DEKA,Bharatiya Janata Party,81580,192,81772,47.13,Assam-BARKHETRI
4,PULAKESH BARUAH,Assam Jatiya Parishad,2572,10,2582,1.49,Assam-BARKHETRI
5,SANTANU KALITA,Janata Dal  (United),802,3,805,0.46,Assam-BARKHETRI
6,BHUPEN TALUKDAR,Independent,487,0,487,0.28,Assam-BARKHETRI
7,NOTA,None of the Above,941,0,941,0.54,Assam-BARKHETRI
1,AMALENDU DAS,Bharatiya Janata Party,56906,496,57402,46.12,Assam-BARKHOLA
2,MISBAHUL ISLAM LASKAR,Indian National Congress,63950,483,64433,51.77,Assam-BARKHOLA
3,MEHBUB RAHMAN BARBHUIYA,Assam Jatiya Parishad,774,2,776,0.62,Assam-BARKHOLA
4,NAZMUL HOQUE LASKAR,Independent,261,2,263,0.21,Assam-BARKHOLA
5,HIFZUR RAHMAN LASKAR,Independent,474,1,475,0.38,Assam-BARKHOLA
6,NOTA,None of the Above,1095,10,1105,0.89,Assam-BARKHOLA
1,ABDUR RAHIM AHMED,Indian National Congress,110509,574,111083,61.04,Assam-BARPETA
2,Gunindra Nath Das,Asom Gana Parishad,65897,467,66364,36.47,Assam-BARPETA
3,SIRAJUL HOQUE,Rashtriya Ulama Council,749,5,754,0.41,Assam-BARPETA
4,Pintu Ghosh,Political Justice Party,686,8,694,0.38,Assam-BARPETA
5,Shyamal Kr. Mandal,Janata Dal  (United),384,21,405,0.22,Assam-BARPETA
6,SHAFIQUL ISLAM,The National Road Map Party of India,961,4,965,0.53,Assam-BARPETA
7,NOTA,None of the Above,1672,55,1727,0.95,Assam-BARPETA
1,Angoorlata Deka,Bharatiya Janata Party,51261,197,51458,36.64,Assam-BATADROBA
2,Sibamoni Bora,Indian National Congress,84039,239,84278,60.02,Assam-BATADROBA
3,Anupam Baruah,Janata Dal  (United),812,3,815,0.58,Assam-BATADROBA
4,Fakar Uddin,Asom Jana Morcha,272,2,274,0.2,Assam-BATADROBA
5,Musleha Begum,Rashtriya Ulama Council,461,2,463,0.33,Assam-BATADROBA
6,Prafulla Rajkhowa,Independent,368,2,370,0.26,Assam-BATADROBA
7,Matiur Rahman,Independent,1682,8,1690,1.2,Assam-BATADROBA
8,NOTA,None of the Above,1072,6,1078,0.77,Assam-BATADROBA
1,RANJIT DUTTA,Bharatiya Janata Party,53335,248,53583,50.93,Assam-BEHALI
2,ANJAN UPADHYAYA,Assam Jatiya Parishad,3322,21,3343,3.18,Assam-BEHALI
3,BIBEK DAS,Communist Party of India  (Marxist-Leninist)  (Liberation),21452,79,21531,20.46,Assam-BEHALI
4,JAYANTA BORAH,Independent,23617,127,23744,22.57,Assam-BEHALI
5,NOTA,None of the Above,3003,9,3012,2.86,Assam-BEHALI
1,PHANIDHAR TALUKDAR,All India United Democratic Front,55546,429,55975,44.57,Assam-BHABANIPUR
2,RANJIT DEKA,Asom Gana Parishad,52236,512,52748,42,Assam-BHABANIPUR
3,ANOWAR UDDIN AHMED,Republican Party of India (Athawale),462,10,472,0.38,Assam-BHABANIPUR
4,SATYA CHANDRA ARJYA,Bharatiya Gana Parishad,348,21,369,0.29,Assam-BHABANIPUR
5,HASEN ALI,Voters Party  International,529,5,534,0.43,Assam-BHABANIPUR
6,ABUL KALAM AZAD,Independent,5351,49,5400,4.3,Assam-BHABANIPUR
7,KAMAL KUMAR MEDHI,Independent,3190,27,3217,2.56,Assam-BHABANIPUR
8,SUBAN ALI,Independent,415,1,416,0.33,Assam-BHABANIPUR
9,BINOY KHERKATARY,Independent,1563,31,1594,1.27,Assam-BHABANIPUR
10,MAKHAN SWARGIARY,Independent,1333,25,1358,1.08,Assam-BHABANIPUR
11,MD. RAHMAN ALI,Independent,1037,12,1049,0.84,Assam-BHABANIPUR
12,RUHUL AMIN,Independent,1432,2,1434,1.14,Assam-BHABANIPUR
13,NOTA,None of the Above,1027,10,1037,0.83,Assam-BHABANIPUR
1,DR. AMIYA KUMAR BHUYAN,Bharatiya Janata Party,58592,387,58979,48.53,Assam-BIHPURIA
2,BHUPEN KUMAR BORAH,Indian National Congress,48511,290,48801,40.16,Assam-BIHPURIA
3,ACHYUT SAIKIA (MADHAB),Assam Jatiya Parishad,6423,87,6510,5.36,Assam-BIHPURIA
4,SHOBHESHWAR GOGOI,Voters Party  International,726,3,729,0.6,Assam-BIHPURIA
5,ANUP SAIKIA,Independent,2532,13,2545,2.09,Assam-BIHPURIA
6,TULESWAR PEGU,Independent,1922,10,1932,1.59,Assam-BIHPURIA
7,PREMADHAR BORA,Independent,726,18,744,0.61,Assam-BIHPURIA
8,MOHIM BANIA,Independent,471,1,472,0.39,Assam-BIHPURIA
9,NOTA,None of the Above,807,7,814,0.67,Assam-BIHPURIA
1,AJOY KUMAR RAY,Bharatiya Janata Party,44909,824,45733,32.69,Assam-BIJNI
2,KAMALSHING NARZARY,Bodoland Peoples Front,43995,735,44730,31.97,Assam-BIJNI
3,NANDADEB BRAHMA,Voters Party  International,482,21,503,0.36,Assam-BIJNI
4,PHANIN BORO,"United People’s Party, Liberal",34899,683,35582,25.43,Assam-BIJNI
5,RUPAM KUMAR DAS,Assam Jatiya Parishad,9766,185,9951,7.11,Assam-BIJNI
6,ABDUL AWAL PARAMANIK,Independent,657,12,669,0.48,Assam-BIJNI
7,SOLEMAN MONDAL,Independent,548,23,571,0.41,Assam-BIJNI
8,BAHARUL ISLAM NAGORI,Independent,777,11,788,0.56,Assam-BIJNI
9,NOTA,None of the Above,1368,20,1388,0.99,Assam-BIJNI
1,ASHOK KUMAR SINGHI,Bharatiya Janata Party,66325,443,66768,34.11,Assam-BILASIPARA EAST
2,SAMSUL HUDA,All India United Democratic Front,115714,354,116068,59.3,Assam-BILASIPARA EAST
3,ABDUL MONNAF PRAMANIK,Janata Dal  (United),907,1,908,0.46,Assam-BILASIPARA EAST
4,KANULAL DAS,Assam Jatiya Parishad,3338,37,3375,1.72,Assam-BILASIPARA EAST
5,PRODIP CHANDRA ROY,Republican Party of India,397,6,403,0.21,Assam-BILASIPARA EAST
6,MOZNUR RAHMAN,Independent,474,4,478,0.24,Assam-BILASIPARA EAST
7,MOYNUL HOQUE,Independent,369,2,371,0.19,Assam-BILASIPARA EAST
8,ABDUL JABBAR,Independent,480,3,483,0.25,Assam-BILASIPARA EAST
9,JITENDRA NATH ADHIKARY,Independent,631,3,634,0.32,Assam-BILASIPARA EAST
10,MOMINUR ISLAM,Independent,2888,3,2891,1.48,Assam-BILASIPARA EAST
11,MOSHLEM UDDIN CHOUDHURY,Independent,1657,0,1657,0.85,Assam-BILASIPARA EAST
12,NOTA,None of the Above,1706,2,1708,0.87,Assam-BILASIPARA EAST
1,DR. ABU BAKAR SIDDIQUE,Bharatiya Janata Party,26907,147,27054,16.78,Assam-BILASIPARA WEST
2,ABDUR REZZAK SHEIKH,All India Trinamool Congress,6422,35,6457,4.01,Assam-BILASIPARA WEST
3,HAFIZ BASHIR AHMED,All India United Democratic Front,90166,363,90529,56.16,Assam-BILASIPARA WEST
4,AKBAR ALI MONDAL,The National Road Map Party of India,1624,3,1627,1.01,Assam-BILASIPARA WEST
5,DR. ANES AHMED,Assam Jatiya Parishad,1511,11,1522,0.94,Assam-BILASIPARA WEST
6,ALI AKBAR MIAH,Independent,30670,101,30771,19.09,Assam-BILASIPARA WEST
7,IFTARUL ISLAM PARAMANIK,Independent,1921,5,1926,1.19,Assam-BILASIPARA WEST
8,NOTA,None of the Above,1298,8,1306,0.81,Assam-BILASIPARA WEST
1,ANJAN BORAH,Indian National Congress,61687,304,61991,44.23,Assam-BISWANATH
2,PROMOD BORTHAKUR,Bharatiya Janata Party,70842,359,71201,50.8,Assam-BISWANATH
3,DULDUL BORKATAKI,Assam Jatiya Parishad,3004,29,3033,2.16,Assam-BISWANATH
4,DWIP BORTHAKUR,Independent,980,3,983,0.7,Assam-BISWANATH
5,MILICHARAN BASUMATARY,Independent,1169,2,1171,0.84,Assam-BISWANATH
6,NOTA,None of the Above,1766,8,1774,1.27,Assam-BISWANATH
1,DAVID RENGMA,National People's Party,1466,6,1472,1.24,Assam-BOKAJAN
2,NUMAL MOMIN,Bharatiya Janata Party,60404,322,60726,51.05,Assam-BOKAJAN
3,RATON ENGTI,Indian National Congress,42655,186,42841,36.02,Assam-BOKAJAN
4,AMLONG INGTI,Communist Party of India  (Marxist-Leninist)  (Liberation),1568,4,1572,1.32,Assam-BOKAJAN
5,RAJENDRA RONGPI,Autonomous State Demand Committee,3388,22,3410,2.87,Assam-BOKAJAN
6,SANJAY KEMPRAI,Bhartiya Tribal Party,710,0,710,0.6,Assam-BOKAJAN
7,SEMSON TERON,Independent,6602,28,6630,5.57,Assam-BOKAJAN
8,NOTA,None of the Above,1576,8,1584,1.33,Assam-BOKAJAN
1,ATUL BORA,Asom Gana Parishad,72067,863,72930,60.56,Assam-BOKAKHAT
2,MRIDUL SAIKIA,Nationalist Congress Party,961,22,983,0.82,Assam-BOKAKHAT
3,REBA KANTA GOGOI,Assam Jatiya Parishad,2295,39,2334,1.94,Assam-BOKAKHAT
4,SIMON TANTI,Independent,639,10,649,0.54,Assam-BOKAKHAT
5,JITEN GOGOI,Independent,5453,97,5550,4.61,Assam-BOKAKHAT
6,JIBON CHANDRA BORAH,Independent,3281,79,3360,2.79,Assam-BOKAKHAT
7,DINESH KARMAKAR,Independent,912,16,928,0.77,Assam-BOKAKHAT
8,DULAL BORA,Independent,1521,24,1545,1.28,Assam-BOKAKHAT
9,PRANAB DOLEY,Independent,27405,344,27749,23.04,Assam-BOKAKHAT
10,BIJOY KUTUM,Independent,969,15,984,0.82,Assam-BOKAKHAT
11,HEMANTA DOLOI,Independent,927,6,933,0.77,Assam-BOKAKHAT
12,NOTA,None of the Above,2465,17,2482,2.06,Assam-BOKAKHAT
1,GOPI NATH DAS,All India Trinamool Congress,12542,29,12571,6.13,Assam-BOKO
2,JYOTI PRASAD DAS,Asom Gana Parishad,67985,162,68147,33.23,Assam-BOKO
3,NANDITA DAS,Indian National Congress,120504,109,120613,58.82,Assam-BOKO
4,NOTA,None of the Above,3723,12,3735,1.82,Assam-BOKO
1,PRABHAT BAISNAB,National People's Party,1595,51,1646,1.07,Assam-BONGAIGAON
2,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,82036,764,82800,53.9,Assam-BONGAIGAON
3,SHANKAR PRASAD RAY,Indian National Congress,44386,247,44633,29.05,Assam-BONGAIGAON
4,DIPU CHOUDHURY,Assam Jatiya Parishad,13872,116,13988,9.1,Assam-BONGAIGAON
5,SANTANU MUKHERJEE,Political Justice Party,2254,12,2266,1.47,Assam-BONGAIGAON
6,SABENDRA BASUMATARY,Voters Party  International,927,25,952,0.62,Assam-BONGAIGAON
7,SRI SUJIT KUMAR ROY,Bharatiya Gana Parishad,2163,21,2184,1.42,Assam-BONGAIGAON
8,KAILASH DAS,Independent,1807,3,1810,1.18,Assam-BONGAIGAON
9,GAUTAM DUTTA,Independent,1167,5,1172,0.76,Assam-BONGAIGAON
10,NOTA,None of the Above,2149,30,2179,1.42,Assam-BONGAIGAON
1,AJOY PHUKAN,Indian National Congress,34673,151,34824,26.92,Assam-CHABUA
2,PONAKAN BARUAH,Asom Gana Parishad,53205,349,53554,41.4,Assam-CHABUA
3,ANANTA HAZARIKA,Lok Jan Shakti Party,2437,26,2463,1.9,Assam-CHABUA
4,PRAKASH TANTI,Rashtriya Lok Samta Party,2732,29,2761,2.13,Assam-CHABUA
5,PRIYANKA NEOG,Independent,16641,59,16700,12.91,Assam-CHABUA
6,BHABEN BARUAH,Independent,11736,57,11793,9.12,Assam-CHABUA
7,LAWRANCE NAG,Independent,3915,11,3926,3.04,Assam-CHABUA
8,NOTA,None of the Above,3325,7,3332,2.58,Assam-CHABUA
1,HITESH BASUMATARY,Bodoland Peoples Front,34786,279,35065,27.56,Assam-CHAPAGURI
2,URKHAO GWRA BRAHMA,"United People’s Party, Liberal",61302,502,61804,48.58,Assam-CHAPAGURI
3,RAJKUMAR BARO,Voters Party  International,1415,26,1441,1.13,Assam-CHAPAGURI
4,KHAMPHA KHUNGUR GOYARY,Independent,907,14,921,0.72,Assam-CHAPAGURI
5,JYOTISH KUMAR DAS,Independent,5061,58,5119,4.02,Assam-CHAPAGURI
6,SUJAN DAS,Independent,20817,172,20989,16.5,Assam-CHAPAGURI
7,NOTA,None of the Above,1863,21,1884,1.48,Assam-CHAPAGURI
1,DR. KAMALA KANTA KALITA,Asom Gana Parishad,65756,64,65820,39.5,Assam-CHAYGAON
2,REKIBUDDIN AHMED,Indian National Congress,93826,38,93864,56.32,Assam-CHAYGAON
3,DEBAJIT ADHIKARI,Assam Jatiya Parishad,2476,5,2481,1.49,Assam-CHAYGAON
4,NURUL ISLAM,Rashtriya Lok Samta Party,360,0,360,0.22,Assam-CHAYGAON
5,SHYAMAL DUTTA,Bharatiya Gana Parishad,689,1,690,0.41,Assam-CHAYGAON
6,AZMAL HOQUE,Independent,577,1,578,0.35,Assam-CHAYGAON
7,NOIMUDDIN AHMED,Independent,535,0,535,0.32,Assam-CHAYGAON
8,DR. FARUK AHMED BHUYAN,Independent,834,0,834,0.5,Assam-CHAYGAON
9,NOTA,None of the Above,1484,3,1487,0.89,Assam-CHAYGAON
1,ABDUL GONI,All India Trinamool Congress,1612,5,1617,1.26,Assam-CHENGA
2,ASHRAFUL HUSSAIN,All India United Democratic Front,75108,204,75312,58.83,Assam-CHENGA
3,RABIUL HUSSAIN,Asom Gana Parishad,23263,110,23373,18.26,Assam-CHENGA
4,SUKUR ALI AHMED,Indian National Congress,22498,75,22573,17.63,Assam-CHENGA
5,GIAS UDDIN AHMED,Assam Jatiya Parishad,728,5,733,0.57,Assam-CHENGA
6,JASHIM KHAN,Voters Party  International,469,0,469,0.37,Assam-CHENGA
7,SEKH NURUL ALAM,Republican Party of India (Athawale),352,0,352,0.27,Assam-CHENGA
8,RUPDHAN AHMED,Bahujan Maha Party,1288,2,1290,1.01,Assam-CHENGA
9,ABUL HASHEM,Independent,427,2,429,0.34,Assam-CHENGA
10,ABDUR RAHIM ALI,Independent,375,0,375,0.29,Assam-CHENGA
11,NURUL AMIN,Independent,787,1,788,0.62,Assam-CHENGA
12,NOTA,None of the Above,695,1,696,0.54,Assam-CHENGA
1,ILIAS ALI,Indian National Congress,62549,410,62959,29.37,Assam-DALGAON
2,MAZIBUR RAHMAN,All India United Democratic Front,117914,428,118342,55.2,Assam-DALGAON
3,HABIBAR RAHMAN,Asom Gana Parishad,28223,121,28344,13.22,Assam-DALGAON
4,SAIFUL HOQUE,Voters Party  International,1795,16,1811,0.84,Assam-DALGAON
5,ARAB ALI,Independent,1219,8,1227,0.57,Assam-DALGAON
6,NOTA,None of the Above,1676,13,1689,0.79,Assam-DALGAON
1,BANI HAZARIKA,Indian National Congress,51171,375,51546,38.73,Assam-DERGAON
2,BHABENDRA NATH BHARALI,Asom Gana Parishad,63612,431,64043,48.12,Assam-DERGAON
3,ANANDA CHANDRA DAS,Assam Jatiya Parishad,7477,108,7585,5.7,Assam-DERGAON
4,PROBIN DAS,Independent,7452,35,7487,5.63,Assam-DERGAON
5,NOTA,None of the Above,2421,20,2441,1.83,Assam-DERGAON
1,NABA KUMAR DOLEY,Bharatiya Janata Party,85371,1011,86382,50.83,Assam-DHAKUAKHANA
2,PADMALOCHAN DOLEY,Indian National Congress,75923,863,76786,45.18,Assam-DHAKUAKHANA
3,JUTIKA DOLEY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),893,12,905,0.53,Assam-DHAKUAKHANA
4,LALIT PEGU,Voters Party  International,1613,16,1629,0.96,Assam-DHAKUAKHANA
5,SATYAJIT REGAN,Assam Jatiya Parishad,2949,39,2988,1.76,Assam-DHAKUAKHANA
6,NOTA,None of the Above,1245,9,1254,0.74,Assam-DHAKUAKHANA
1,CHANDRA MOHAN PATOWARY,Bharatiya Janata Party,68016,346,68362,56.73,Assam-DHARMAPUR
2,RATUL PATOWARY,Indian National Congress,43186,142,43328,35.96,Assam-DHARMAPUR
3,PRAMOD CHANDRA BHAGABATI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),571,0,571,0.47,Assam-DHARMAPUR
4,Dr. SHIKHAR KUMAR SARMA,Assam Jatiya Parishad,6502,25,6527,5.42,Assam-DHARMAPUR
5,JYOTIRMAY SHARMA,Independent,618,1,619,0.51,Assam-DHARMAPUR
6,NOTA,None of the Above,1083,5,1088,0.9,Assam-DHARMAPUR
1,ASHOK SINGHAL,Bharatiya Janata Party,93329,439,93768,56.89,Assam-DHEKIAJULI
2,BENUDHAR NATH,Indian National Congress,58492,206,58698,35.62,Assam-DHEKIAJULI
3,RANJAY BASUMATARY,Voters Party  International,2058,14,2072,1.26,Assam-DHEKIAJULI
4,SATRUGHANA SASONI,Assam Jatiya Parishad,1547,13,1560,0.95,Assam-DHEKIAJULI
5,SANJOY DEY,Bharatiya Gana Parishad,1239,6,1245,0.76,Assam-DHEKIAJULI
6,TARUN SAHU,Independent,3480,14,3494,2.12,Assam-DHEKIAJULI
7,JAGYA RAM MIRDHA,Independent,1411,3,1414,0.86,Assam-DHEKIAJULI
8,NOTA,None of the Above,2554,5,2559,1.55,Assam-DHEKIAJULI
1,Ranoj Pegu,Bharatiya Janata Party,86744,937,87681,45.33,Assam-DHEMAJI
2,Sailen Sonowal,Indian National Congress,44228,604,44832,23.18,Assam-DHEMAJI
3,Chittaranjan Basumatary,Assam Jatiya Parishad,56528,361,56889,29.41,Assam-DHEMAJI
4,Hem Kanta Miri,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1149,9,1158,0.6,Assam-DHEMAJI
5,Ayub Khang Brahma,Independent,1190,19,1209,0.63,Assam-DHEMAJI
6,NOTA,None of the Above,1629,14,1643,0.85,Assam-DHEMAJI
1,Aminul Islam,All India United Democratic Front,145682,206,145888,70.39,Assam-DHING
2,Sanjib Kumar Bora,Bharatiya Janata Party,8982,66,9048,4.37,Assam-DHING
3,Md. Anjar Hussain,Assam Jatiya Parishad,1127,12,1139,0.55,Assam-DHING
4,Inamul Huda,Revolutionary Communist Party of India  (Rasik Bhatt),3447,6,3453,1.67,Assam-DHING
5,Saiful Islam Choudhury,Asom Jana Morcha,877,4,881,0.43,Assam-DHING
6,Shahnaz Begum,Janata Dal  (United),762,5,767,0.37,Assam-DHING
7,Mehboob Muktar,Independent,42862,59,42921,20.71,Assam-DHING
8,Mustafa Shahidul Islam,Independent,1325,2,1327,0.64,Assam-DHING
9,NOTA,None of the Above,1818,2,1820,0.88,Assam-DHING
1,KAMAKHYA PRASAD MALA,Indian National Congress,61868,308,62176,41.44,Assam-DHOLAI
2,PARIMAL SUKLA BAIDYA,Bharatiya Janata Party,81896,672,82568,55.03,Assam-DHOLAI
3,GOUR CHANDRA DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1823,11,1834,1.22,Assam-DHOLAI
4,RAM RATAN DUSAD,Assam Jatiya Parishad,376,5,381,0.25,Assam-DHOLAI
5,ANANTA MOHAN ROY,Independent,355,1,356,0.24,Assam-DHOLAI
6,DIPAK RANJAN ROY,Independent,417,8,425,0.28,Assam-DHOLAI
7,PARIMAL DAS,Independent,746,4,750,0.5,Assam-DHOLAI
8,NOTA,None of the Above,1558,3,1561,1.04,Assam-DHOLAI
1,DR. DEBAMOY SANYAL,Bharatiya Janata Party,45864,236,46100,26.13,Assam-DHUBRI
